,country,suicides_no,code
0,Russian Federation,1209742,RUS
1,United States,1034013,USA
2,Japan,806902,JPN
3,France,329127,FRA
4,Ukraine,319950,UKR
5,Germany,291262,DEU
6,Republic of Korea,261730,PRK
7,Brazil,226613,BRA
8,Poland,139098,POL
9,United Kingdom,136805,GBR
10,Italy,132060,ITA
11,Mexico,111139,MEX
12,Thailand,110643,THA
13,Canada,107561,CAN
14,Kazakhstan,101546,KAZ
15,Spain,100202,ESP
16,Argentina,82219,ARG
17,Hungary,73891,HUN
18,Romania,72777,ROU
19,Australia,70111,AUS
20,Belgium,62761,BEL
21,Belarus,59892,BLR
22,Sri Lanka,55641,LKA
23,Colombia,53080,COL
24,Netherlands,50833,NLD
25,Austria,50073,AUT
26,Czech Republic,43687,CZE
27,Cuba,41418,CUB
28,Chile,40895,CHL
29,Sweden,37795,SWE
30,Bulgaria,36388,BGR
31,Uzbekistan,34803,UZB
32,Finland,33677,FIN
33,Lithuania,28039,LTU
34,Switzerland,26217,CHE
35,Serbia,24179,SRB
36,Portugal,24061,PRT
37,Philippines,21330,PHL
38,Ecuador,20660,ECU
39,Croatia,18429,HRV
40,Norway,16992,NOR
41,Denmark,15297,DNK
42,New Zealand,14383,NZL
43,Slovakia,13437,SVK
44,Uruguay,13138,URY
45,Kyrgyzstan,13090,KGZ
46,Latvia,12770,LVA
47,Ireland,12574,IRL
48,Greece,12368,GRC
49,El Salvador,11683,SLV
50,Israel,11294,ISR
51,Slovenia,10615,SVN
52,Turkey,10131,TUR
53,Singapore,10089,SGP
54,Puerto Rico,9043,PRI
55,Turkmenistan,8624,TKM
56,Guatemala,8149,GTM
57,South Africa,7321,ZAF
58,Estonia,7034,EST
59,Costa Rica,6792,CRI
60,Paraguay,4783,PRY
61,Trinidad and Tobago,4039,TTO
62,Mauritius,3894,MUS
63,Panama,3483,PAN
64,Guyana,3426,GUY
65,Georgia,3224,GEO
66,Suriname,2166,SUR
67,Nicaragua,2013,NIC
68,Albania,1970,ALB
69,Luxembourg,1958,LUX
70,Armenia,1905,ARM
71,Azerbaijan,1656,AZE
72,Iceland,1108,ISL
73,Kuwait,966,KWT
74,United Arab Emirates,622,ARE
75,Malta,585,MLT
76,Qatar,574,QAT
77,Montenegro,472,MNE
78,Bahrain,463,BHR
79,Mongolia,423,MNG
80,Cyprus,412,CYP
81,Belize,348,BLZ
82,Bosnia and Herzegovina,318,BIH
83,Fiji,304,FJI
84,Saint Lucia,230,LCA
85,Jamaica,184,JAM
86,Barbados,177,BRB
87,Saint Vincent and Grenadines,124,BRB
88,Aruba,101,ABW
89,Seychelles,98,SYC
90,Bahamas,93,BHS
91,Kiribati,53,KIR
92,Cabo Verde,42,CPV
93,Grenada,38,GRD
94,Oman,33,OMN
95,Macau,27,OMN
96,Maldives,20,MDV
97,Antigua and Barbuda,11,ATG
98,San Marino,4,SMR
99,Saint Kitts and Nevis,0,KNA
100,Dominica,0,DMA
